timestamp	wtemp_c	do_mass
8/6/12 0:01	22.61	8.24
8/6/12 0:16	22.55	8.19
8/6/12 0:31	22.49	8.13
8/6/12 0:46	22.43	8.07
8/6/12 1:01	22.37	8.02
8/6/12 1:16	22.3	7.96
8/6/12 1:31	22.25	7.9
8/6/12 1:46	22.19	7.86
8/6/12 2:01	22.12	7.82
8/6/12 2:16	22.07	7.76
8/6/12 2:31	22.01	7.73
8/6/12 2:46	21.95	7.69
8/6/12 3:01	21.91	7.66
8/6/12 3:16	21.86	7.62
8/6/12 3:31	21.8	7.58
8/6/12 3:46	21.75	7.55
8/6/12 4:01	21.7	7.53
8/6/12 4:16	21.65	7.5
8/6/12 4:31	21.6	7.48
8/6/12 4:46	21.55	7.45
8/6/12 5:01	21.5	7.42
8/6/12 5:16	21.46	7.4
8/6/12 5:31	21.42	7.38
8/6/12 5:46	21.38	7.36
8/6/12 6:01	21.34	7.34
8/6/12 6:16	21.29	7.32
8/6/12 6:31	21.26	7.32
8/6/12 6:46	21.23	7.3
8/6/12 7:01	21.2	7.31
8/6/12 7:16	21.19	7.31
8/6/12 7:31	21.16	7.31
8/6/12 7:46	21.16	7.32
8/6/12 8:01	21.17	7.35
8/6/12 8:16	21.18	7.38
8/6/12 8:31	21.2	7.41
8/6/12 8:46	21.23	7.46
8/6/12 9:01	21.28	7.5
8/6/12 9:16	21.31	7.56
8/6/12 9:31	21.37	7.62
8/6/12 9:46	21.43	7.69
8/6/12 10:01	21.5	7.76
8/6/12 10:16	21.59	7.84
8/6/12 10:31	21.68	7.92
8/6/12 10:46	21.77	8
8/6/12 11:01	21.88	8.08
8/6/12 11:16	21.98	8.16
8/6/12 11:31	22.1	8.24
8/6/12 11:46	22.21	8.32
8/6/12 12:01	22.33	8.4
8/6/12 12:16	22.45	8.48
8/6/12 12:31	22.57	8.55
8/6/12 12:46	22.69	8.64
8/6/12 13:01	22.81	8.72
8/6/12 13:16	22.93	8.79
8/6/12 13:31	23.05	8.86
8/6/12 13:46	23.17	8.94
8/6/12 14:01	23.3	9.01
8/6/12 14:16	23.39	9.08
8/6/12 14:31	23.49	9.14
8/6/12 14:46	23.53	9.18
8/6/12 15:01	23.63	9.23
8/6/12 15:16	23.68	9.26
8/6/12 15:31	23.74	9.31
8/6/12 15:46	23.87	9.38
8/6/12 16:01	23.97	9.41
8/6/12 16:16	24.03	9.46
8/6/12 16:31	24.09	9.48
8/6/12 16:46	24.13	9.5
8/6/12 17:01	24.13	9.45
8/6/12 17:16	24.15	9.44
8/6/12 17:31	24.14	9.4
8/6/12 17:46	24.13	9.37
8/6/12 18:01	24.1	9.33
8/6/12 18:16	24.06	9.28
8/6/12 18:31	24.01	9.23
8/6/12 18:46	23.94	9.16
8/6/12 19:01	23.89	9.11
8/6/12 19:16	23.84	9.03
8/6/12 19:31	23.76	8.94
8/6/12 19:46	23.72	8.87
8/6/12 20:01	23.66	8.79
8/6/12 20:16	23.63	8.74
8/6/12 20:31	23.6	8.69
8/6/12 20:46	23.52	8.6
8/6/12 21:01	23.47	8.52
8/6/12 21:16	23.43	8.45
8/6/12 21:31	23.38	8.37
8/6/12 21:46	23.34	8.31
8/6/12 22:01	23.28	8.25
8/6/12 22:16	23.21	8.19
8/6/12 22:31	23.16	8.12
8/6/12 22:46	23.11	8.06
8/6/12 23:01	23.05	8
8/6/12 23:16	23	7.94
8/6/12 23:31	22.95	7.89
8/6/12 23:46	22.89	7.83
8/7/12 0:01	22.87	7.79
8/7/12 0:16	22.82	7.74
8/7/12 0:31	22.79	7.7
8/7/12 0:46	22.75	7.65
8/7/12 1:01	22.69	7.61
8/7/12 1:16	22.64	7.57
8/7/12 1:31	22.58	7.54
8/7/12 1:46	22.54	7.5
8/7/12 2:01	22.49	7.47
8/7/12 2:16	22.46	7.44
8/7/12 2:31	22.43	7.4
8/7/12 2:46	22.4	7.38
8/7/12 3:01	22.37	7.36
8/7/12 3:16	22.34	7.34
8/7/12 3:31	22.31	7.31
8/7/12 3:46	22.28	7.29
8/7/12 4:01	22.25	7.27
8/7/12 4:16	22.23	7.25
8/7/12 4:31	22.21	7.24
8/7/12 4:46	22.18	7.22
8/7/12 5:01	22.16	7.21
8/7/12 5:16	22.15	7.19
8/7/12 5:31	22.12	7.17
8/7/12 5:46	22.09	7.15
8/7/12 6:01	22.07	7.14
8/7/12 6:16	22.03	7.12
8/7/12 6:31	22	7.11
8/7/12 6:46	21.96	7.1
8/7/12 7:01	21.93	7.1
8/7/12 7:16	21.91	7.1
8/7/12 7:31	21.89	7.12
8/7/12 7:46	21.88	7.14
8/7/12 8:01	21.89	7.17
8/7/12 8:16	21.89	7.21
8/7/12 8:31	21.88	7.25
8/7/12 8:46	21.89	7.3
8/7/12 9:01	21.91	7.37
8/7/12 9:16	21.94	7.43
8/7/12 9:31	21.99	7.5
8/7/12 9:46	22.04	7.58
8/7/12 10:01	22.12	7.67
8/7/12 10:16	22.2	7.75
8/7/12 10:31	22.29	7.84
8/7/12 10:46	22.37	7.93
8/7/12 11:01	22.46	8.02
8/7/12 11:16	22.55	8.1
8/7/12 11:31	22.66	8.19
8/7/12 11:46	22.77	8.27
8/7/12 12:01	22.87	8.36
8/7/12 12:16	22.99	8.45
8/7/12 12:31	23.1	8.54
8/7/12 12:46	23.21	8.62
8/7/12 13:01	23.32	8.7
8/7/12 13:16	23.42	8.78
8/7/12 13:31	23.53	8.86
8/7/12 13:46	23.66	8.94
8/7/12 14:01	23.75	9.02
8/7/12 14:16	23.86	9.08
8/7/12 14:31	23.94	9.15
8/7/12 14:46	24.02	9.22
8/7/12 15:01	24.11	9.26
8/7/12 15:16	24.18	9.33
8/7/12 15:31	24.25	9.38
8/7/12 15:46	24.34	9.44
8/7/12 16:01	24.36	9.46
8/7/12 16:16	24.42	9.51
8/7/12 16:31	24.45	9.53
8/7/12 16:46	24.47	9.55
8/7/12 17:01	24.48	9.56
8/7/12 17:16	24.52	9.57
8/7/12 17:31	24.53	9.57
8/7/12 17:46	24.53	9.57
8/7/12 18:01	24.52	9.54
8/7/12 18:16	24.5	9.54
8/7/12 18:31	24.46	9.51
8/7/12 18:46	24.44	9.47
8/7/12 19:01	24.41	9.44
8/7/12 19:16	24.37	9.4
8/7/12 19:31	24.33	9.35
8/7/12 19:46	24.3	9.31
8/7/12 20:01	24.25	9.24
8/7/12 20:16	24.18	9.18
8/7/12 20:31	24.13	9.1
8/7/12 20:46	24.07	9.03
8/7/12 21:01	24.02	8.95
8/7/12 21:16	23.99	8.87
8/7/12 21:31	23.93	8.8
8/7/12 21:46	23.88	8.71
8/7/12 22:01	23.82	8.63
8/7/12 22:16	23.75	8.55
8/7/12 22:31	23.66	8.47
8/7/12 22:46	23.6	8.4
8/7/12 23:01	23.53	8.33
8/7/12 23:16	23.47	8.26
8/7/12 23:31	23.41	8.2
8/7/12 23:46	23.35	8.14
