,projectNumber,projectId,lifecycleState,name,createTime,parent
0,803945347955,syncqwerty0001,ACTIVE,syncqwerty0001,2020-07-24T10:31:33.980Z,"{'type': 'organization', 'id': '228635943927'}"
1,533574037811,synczqwds0093,ACTIVE,synczqwds0093,2020-07-22T08:14:46.576Z,"{'type': 'organization', 'id': '228635943927'}"
2,538780262315,synczqwds0092,ACTIVE,synczqwds0092,2020-07-22T08:13:09Z,"{'type': 'organization', 'id': '228635943927'}"
3,766479975573,synczqwds0091,ACTIVE,synczqwds0091,2020-07-22T08:01:30.948Z,"{'type': 'organization', 'id': '228635943927'}"
4,331873147107,lexsync0003,ACTIVE,lexsync0003,2020-07-22T02:10:09.380Z,"{'type': 'organization', 'id': '228635943927'}"
5,909420321888,synczqwds0090,ACTIVE,sync1010,2020-07-21T13:54:41.830Z,"{'type': 'organization', 'id': '228635943927'}"
6,1055464418641,synczqwds0088,ACTIVE,sync1009,2020-07-21T13:09:07.087Z,"{'type': 'organization', 'id': '228635943927'}"
7,793611892585,synczqwds0087,ACTIVE,sync1008,2020-07-21T12:55:20.763Z,"{'type': 'organization', 'id': '228635943927'}"
8,346635081213,zzplt8765qw000083,ACTIVE,,2020-07-21T12:52:24.788Z,"{'type': 'organization', 'id': '228635943927'}"
9,420698121622,syncz1008,ACTIVE,syncz1008,2020-07-21T12:39:02.355Z,"{'type': 'organization', 'id': '228635943927'}"
10,1072072440575,sync1007qqza,ACTIVE,sync1007,2020-07-21T09:25:26.111Z,"{'type': 'organization', 'id': '228635943927'}"
11,749973039988,mm-q350mpyghuew919ubgdl3bm1jie,ACTIVE,sync1007,2020-07-21T08:25:10.271Z,"{'type': 'organization', 'id': '228635943927'}"
12,150383623543,quickstart2-1595319265573,ACTIVE,Quickstart2,2020-07-21T08:14:25.795Z,"{'type': 'organization', 'id': '228635943927'}"
13,143704061684,sacopy00084,ACTIVE,,2020-07-20T12:05:27.893Z,"{'type': 'organization', 'id': '228635943927'}"
14,1027150050540,sacopy88,ACTIVE,,2020-07-20T12:00:35.691Z,"{'type': 'organization', 'id': '228635943927'}"
15,416208578766,mmobsync10101,ACTIVE,mmobsync10101,2020-07-20T09:08:23.183Z,"{'type': 'organization', 'id': '228635943927'}"
16,24091401327,mmobsync1010,ACTIVE,mmobsync1010,2020-07-20T09:07:23.582Z,"{'type': 'organization', 'id': '228635943927'}"
17,953223630090,mmobsync010010,ACTIVE,,2020-07-20T08:58:44.325Z,"{'type': 'organization', 'id': '228635943927'}"
18,343017811628,mmobsync000001,ACTIVE,,2020-07-20T08:57:39.467Z,"{'type': 'organization', 'id': '228635943927'}"
19,535236357417,mmobsync0001,ACTIVE,,2020-07-20T08:41:16.836Z,"{'type': 'organization', 'id': '228635943927'}"
20,637440657145,mmobsync1009,ACTIVE,mmobsync1009,2020-07-20T08:21:58.015Z,"{'type': 'organization', 'id': '228635943927'}"
21,462827695645,mmobsync1008,ACTIVE,,2020-07-20T08:02:38.885Z,"{'type': 'organization', 'id': '228635943927'}"
22,763830397370,mmobsync1007,ACTIVE,mmobsync1007,2020-07-20T07:59:22.351Z,"{'type': 'organization', 'id': '228635943927'}"
23,948579322348,mmobproj0001,ACTIVE,,2020-07-20T07:51:57.108Z,"{'type': 'organization', 'id': '228635943927'}"
24,39716577125,proj99999,ACTIVE,,2020-07-20T00:08:38.480Z,"{'type': 'organization', 'id': '228635943927'}"
