Time,CO2
-40.0,-4.237927749032103e-05
-39.00168037414551,-3.422761581490147e-05
-39.00021171569824,-3.427420984285846e-05
-38.999114990234375,-3.430903894802834e-05
-38.998910903930664,-3.4315523459646965e-05
-38.0005407333374,-5.092408055196271e-05
-38.0001859664917,-5.0914883738388344e-05
-37.99955892562866,-5.089858550229517e-05
-37.99915933609009,-5.088817052898267e-05
-37.00166368484497,-3.868244826719124e-06
-37.00043964385986,-3.844575493239257e-06
-36.999868392944336,-3.833607869607899e-06
-36.99819898605347,-3.8018433178639915e-06
-36.001699447631836,-1.4252800798540608e-05
-36.00129842758179,-1.4249954480052079e-05
-36.000590324401855,-1.4244877718537909e-05
-35.996455669403076,-1.4213939067045946e-05
-35.001688957214355,1.60305746829675e-05
-34.99920320510864,1.6058863855528005e-05
-34.998908042907715,1.606217312730923e-05
-34.99805736541748,1.607165153958925e-05
-34.001102924346924,6.557090918505812e-06
-34.00072002410889,6.5607817424904736e-06
-33.99927282333374,6.574888213945009e-06
-33.9987587928772,6.5799583780735675e-06
-33.00160598754883,4.3238974622302244e-05
-33.000526428222656,4.32728755581082e-05
-32.99919557571411,4.3314546756871304e-05
-32.99682092666626,4.3388568082084654e-05
-32.00145626068115,4.4873400044987515e-05
-32.00052785873413,4.485479065797627e-05
-32.000441551208496,4.48530594797415e-05
-31.99977731704712,4.4839729355006344e-05
-31.00175952911377,1.8315437569784056e-05
-30.99952983856201,1.825741666694911e-05
-30.999103546142578,1.8246332380807686e-05
-30.99783420562744,1.8213344105177908e-05
-30.00115394592285,4.146586365505886e-06
-30.00054407119751,4.147768855176031e-06
-29.999512195587158,4.149803951382867e-06
-29.99935483932495,4.150118099019709e-06
-29.00185537338257,1.6886984115351812e-05
-28.999512672424316,1.6919753289554606e-05
-28.999500274658203,1.6919926462332238e-05
-28.998474597930908,1.6934244243536126e-05
-27.999889373779297,1.635756934754745e-05
-27.99985647201538,1.6356869733490818e-05
-27.999788761138916,1.6355429764926688e-05
-27.998621463775635,1.6330566761605097e-05
-26.99990463256836,-1.5324503092534257e-05
-26.999516487121582,-1.5334418811064787e-05
-26.999206066131592,-1.5342344031414888e-05
-26.99917459487915,-1.5343147265818337e-05
-26.001348972320557,-2.423497886055335e-05
-26.000113010406494,-2.423291899779161e-05
-25.99985933303833,-2.4232494513631305e-05
-25.99891471862793,-2.4230908796202413e-05
-25.00125741958618,-3.53010774534919e-05
-25.000021934509277,-3.535192636168946e-05
-25.000003814697266,-3.5352673193935814e-05
-24.999340057373047,-3.5380052233213594e-05
